datetime,CO2
1992-05-31,359.46
1992-06-30,359.05
1992-07-31,356.82
1992-08-31,354.8
1992-09-30,352.81
1992-10-31,353.11
1992-11-30,353.96
1992-12-31,355.2
1993-01-31,356.5
1993-02-28,356.97
1993-03-31,358.18
1993-04-30,359.26
1993-05-31,360.08
1993-06-30,359.4
1993-07-31,357.38
1993-08-31,355.33
1993-09-30,353.5
1993-10-31,353.8
1993-11-30,355.15
1993-12-31,356.62
1994-01-31,358.19
1994-02-28,358.73
1994-03-31,359.79
1994-04-30,361.09
1994-05-31,361.51
1994-06-30,360.77
1994-07-31,359.38
1994-08-31,357.31
1994-09-30,355.68
1994-10-31,355.83
1994-11-30,357.42
1994-12-31,358.88
1995-01-31,359.81
1995-02-28,360.84
1995-03-31,361.48
1995-04-30,363.3
1995-05-31,363.64
1995-06-30,363.11
1995-07-31,361.75
1995-08-31,359.31
1995-09-30,357.91
1995-10-31,357.62
1995-11-30,359.42
1995-12-31,360.56
1996-01-31,361.91
1996-02-29,363.11
1996-03-31,363.88
1996-04-30,364.58
1996-05-31,365.29
1996-06-30,364.84
1996-07-31,363.52
1996-08-31,361.35
1996-09-30,359.32
1996-10-31,359.48
1996-11-30,360.64
1996-12-31,362.21
1997-01-31,363.06
1997-02-28,363.87
1997-03-31,364.44
1997-04-30,366.23
1997-05-31,366.68
1997-06-30,365.52
1997-07-31,364.36
1997-08-31,362.39
1997-09-30,360.08
1997-10-31,360.67
1997-11-30,362.32
1997-12-31,364.17
1998-01-31,365.22
1998-02-28,366.04
1998-03-31,367.2
1998-04-30,368.5
1998-05-31,369.19
1998-06-30,368.77
1998-07-31,367.53
1998-08-31,365.67
1998-09-30,363.8
1998-10-31,364.13
1998-11-30,365.36
1998-12-31,366.87
1999-01-31,368.05
1999-02-28,368.77
1999-03-31,369.49
1999-04-30,371.04
1999-05-31,370.9
1999-06-30,370.25
1999-07-31,369.17
1999-08-31,366.83
1999-09-30,364.54
1999-10-31,365.04
1999-11-30,366.58
1999-12-31,367.92
2000-01-31,369.05
2000-02-29,369.37
2000-03-31,370.42
2000-04-30,371.57
2000-05-31,371.74
2000-06-30,371.6
2000-07-31,370.02
2000-08-31,368.03
2000-09-30,366.53
2000-10-31,366.64
2000-11-30,368.2
2000-12-31,369.44
2001-01-31,370.2
2001-02-28,371.41
2001-03-31,372.04
2001-04-30,372.78
2001-05-31,373.94
2001-06-30,373.23
2001-07-31,371.54
2001-08-31,369.47
2001-09-30,367.88
2001-10-31,368.01
2001-11-30,369.6
2001-12-31,371.16
2002-01-31,372.36
2002-02-28,373.0
2002-03-31,373.44
2002-04-30,374.77
2002-05-31,375.48
2002-06-30,375.33
2002-07-31,373.95
2002-08-31,371.41
2002-09-30,370.63
2002-10-31,370.18
2002-11-30,372.01
2002-12-31,373.71
2003-01-31,374.61
2003-02-28,375.55
2003-03-31,376.04
2003-04-30,377.58
2003-05-31,378.28
2003-06-30,378.07
2003-07-31,376.55
2003-08-31,374.42
2003-09-30,372.92
2003-10-31,372.94
2003-11-30,374.29
2003-12-31,375.63
2004-01-31,376.73
2004-02-29,377.31
2004-03-31,378.33
2004-04-30,380.44
2004-05-31,380.56
2004-06-30,379.49
2004-07-31,377.71
2004-08-31,375.77
2004-09-30,373.99
2004-10-31,374.17
2004-11-30,375.79
2004-12-31,377.39
2005-01-31,378.29
2005-02-28,379.56
2005-03-31,380.06
2005-04-30,382.02
2005-05-31,382.21
2005-06-30,382.05
2005-07-31,380.63
2005-08-31,378.64
2005-09-30,376.38
2005-10-31,376.77
2005-11-30,378.27
2005-12-31,379.93
2006-01-31,381.33
2006-02-28,381.98
2006-03-31,382.53
2006-04-30,384.33
2006-05-31,384.89
2006-06-30,383.99
2006-07-31,382.25
2006-08-31,380.44
2006-09-30,378.77
2006-10-31,379.03
2006-11-30,380.11
2006-12-31,381.63
2007-01-31,382.55
2007-02-28,383.68
2007-03-31,384.31
2007-04-30,386.2
2007-05-31,386.38
2007-06-30,385.85
2007-07-31,384.42
2007-08-31,381.81
2007-09-30,380.83
2007-10-31,380.83
2007-11-30,382.32
2007-12-31,383.58
2008-01-31,385.04
2008-02-29,385.81
2008-03-31,385.8
2008-04-30,386.74
2008-05-31,388.49
2008-06-30,388.02
2008-07-31,386.22
2008-08-31,384.05
2008-09-30,383.05
2008-10-31,382.75
2008-11-30,383.98
2008-12-31,385.08
2009-01-31,386.63
2009-02-28,387.1
2009-03-31,388.5
2009-04-30,389.54
2009-05-31,390.15
2009-06-30,389.6
2009-07-31,388.05
2009-08-31,386.06
2009-09-30,384.64
2009-10-31,384.32
2009-11-30,386.05
2009-12-31,387.48
2010-01-31,388.55
2010-02-28,390.08
2010-03-31,391.02
2010-04-30,392.39
2010-05-31,393.24
2010-06-30,392.26
2010-07-31,390.35
2010-08-31,388.53
2010-09-30,386.85
2010-10-31,387.18
2010-11-30,388.69
2010-12-31,389.83
2011-01-31,391.33
2011-02-28,391.96
2011-03-31,392.49
2011-04-30,393.41
2011-05-31,394.33
2011-06-30,393.75
2011-07-31,392.64
2011-08-31,390.25
2011-09-30,389.05
2011-10-31,388.98
2011-11-30,390.3
2011-12-31,391.86
2012-01-31,393.13
2012-02-29,393.42
2012-03-31,394.43
2012-04-30,396.51
2012-05-31,396.96
2012-06-30,395.97
2012-07-31,394.6
2012-08-31,392.61
2012-09-30,391.2
2012-10-31,391.09
2012-11-30,393.03
2012-12-31,394.42
2013-01-31,395.69
2013-02-28,396.94
2013-03-31,397.35
2013-04-30,398.44
2013-05-31,400.06
2013-06-30,398.95
2013-07-31,397.46
2013-08-31,395.49
2013-09-30,393.47
2013-10-31,393.77
2013-11-30,395.27
2013-12-31,396.9
2014-01-31,398.01
2014-02-28,398.18
2014-03-31,399.56
2014-04-30,401.44
2014-05-31,401.99
2014-06-30,401.41
2014-07-31,399.17
2014-08-31,397.3
2014-09-30,395.49
2014-10-31,395.74
2014-11-30,397.32
2014-12-31,398.89
2015-01-31,399.95
2015-02-28,400.39
2015-03-31,401.6
2015-04-30,403.53
2015-05-31,404.04
2015-06-30,402.81
2015-07-31,401.54
2015-08-31,398.93
2015-09-30,397.43
2015-10-31,398.22
2015-11-30,400.17
2015-12-31,401.82
2016-01-31,402.58
2016-02-29,404.09
2016-03-31,404.79
2016-04-30,407.5
2016-05-31,407.59
2016-06-30,406.94
2016-07-31,404.43
2016-08-31,402.17
2016-09-30,400.95
2016-10-31,401.43
2016-11-30,403.57
2016-12-31,404.48
2017-01-31,406.0
2017-02-28,406.57
2017-03-31,406.99
2017-04-30,408.88
2017-05-31,409.84
2017-06-30,409.05
2017-07-31,407.13
2017-08-31,405.17
2017-09-30,403.2
2017-10-31,403.57
2017-11-30,405.1
2017-12-31,406.68
2018-01-31,407.98
2018-02-28,408.36
2018-03-31,409.21
2018-04-30,410.24
2018-05-31,411.23
2018-06-30,410.81
2018-07-31,408.83
2018-08-31,407.02
2018-09-30,405.52
2018-10-31,405.93
2018-11-30,408.04
2018-12-31,409.17
2019-01-31,410.85
2019-02-28,411.59
2019-03-31,411.91
2019-04-30,413.46
2019-05-31,414.76
2019-06-30,413.89
2019-07-31,411.78
2019-08-31,410.01
2019-09-30,408.48
2019-10-31,408.4
2019-11-30,410.16
2019-12-31,411.81
2020-01-31,413.3
2020-02-29,414.05
2020-03-31,414.45
2020-04-30,416.11
2020-05-31,417.15
2020-06-30,416.29
2020-07-31,414.42
2020-08-31,412.52
2020-09-30,411.18
2020-10-31,411.12
2020-11-30,412.88
2020-12-31,413.89
2021-01-31,415.15
2021-02-28,416.47
2021-03-31,417.16
2021-04-30,418.24
2021-05-31,418.95
2021-06-30,418.7
2021-07-31,416.65
2021-08-31,414.34
2021-09-30,412.9
2021-10-31,413.55
2021-11-30,414.82
2021-12-31,416.43
